name,type,"data"
"Async Serial","data",0xB9A0
"Async Serial","data",0xB9A0
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x2222
"Async Serial","data",0x0000
"Async Serial","data",0x1133
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x3355
"Async Serial","data",0x3355
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0xBBBB
"Async Serial","data",0xBBBB
"Async Serial","data",0x003C
"Async Serial","data",0x003C
"Async Serial","data",0x0080
"Async Serial","data",0x0081
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x78EF
"Async Serial","data",0x78EF
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x8888
"Async Serial","data",0x8888
"Async Serial","data",0x6147
"Async Serial","data",0x6147
"Async Serial","data",0x656D
"Async Serial","data",0x656D
"Async Serial","data",0x7246
"Async Serial","data",0x7246
"Async Serial","data",0x6165
"Async Serial","data",0x6165
"Async Serial","data",0x206B
"Async Serial","data",0x206B
"Async Serial","data",0x6E69
"Async Serial","data",0x6E69
"Async Serial","data",0x2E63
"Async Serial","data",0x2E63
"Async Serial","data",0xC03C
"Async Serial","data",0xC03C
"Async Serial","data",0x8888
"Async Serial","data",0x8888
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x4004
"Async Serial","data",0x4001
"Async Serial","data",0x8000
"Async Serial","data",0x0000
"Async Serial","data",0xDD12
"Async Serial","data",0x30B6
"Async Serial","data",0xA92C
"Async Serial","data",0xAF3B
"Async Serial","data",0xC6C0
"Async Serial","data",0xE0C0
"Async Serial","data",0xCCC9
"Async Serial","data",0xE6E3
"Async Serial","data",0xD270
"Async Serial","data",0xD270
"Async Serial","data",0x8888
"Async Serial","data",0x8888
"Async Serial","data",0xBBC3
"Async Serial","data",0xD5DD
"Async Serial","data",0xFFC8
"Async Serial","data",0xFFE2
"Async Serial","data",0x0011
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x00B6
"Async Serial","data",0x1133
"Async Serial","data",0x1133
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0xC587
"Async Serial","data",0xC587
"Async Serial","data",0x8888
"Async Serial","data",0x8888
"Async Serial","data",0x0005
"Async Serial","data",0x0005
"Async Serial","data",0x6147
"Async Serial","data",0x6147
"Async Serial","data",0x656D
"Async Serial","data",0x656D
"Async Serial","data",0x7246
"Async Serial","data",0x7246
"Async Serial","data",0x6165
"Async Serial","data",0x6165
"Async Serial","data",0x206B
"Async Serial","data",0x206B
"Async Serial","data",0x6E69
"Async Serial","data",0x6E69
"Async Serial","data",0x6380
"Async Serial","data",0x6380
"Async Serial","data",0x8888
"Async Serial","data",0x8888
"Async Serial","data",0x2E63
"Async Serial","data",0x2E63
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x000B
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0003
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x000D
"Async Serial","data",0x0000
"Async Serial","data",0x6DF1
"Async Serial","data",0x6DF1
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0xCCCC
"Async Serial","data",0x0000
"Async Serial","data",0x0002
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0xCCCE
"Async Serial","data",0xCCCE
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0xBBBB
"Async Serial","data",0x0000
"Async Serial","data",0x0064
"Async Serial","data",0x0000
"Async Serial","data",0x0081
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0xBCA0
"Async Serial","data",0xBCA0
"Async Serial","data",0xBBBB
"Async Serial","data",0x0000
"Async Serial","data",0x0064
"Async Serial","data",0x0000
"Async Serial","data",0x0080
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0xBC9F
"Async Serial","data",0xBC9F
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
"Async Serial","data",0x0000
