name,type,"data","error"
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
"Async Serial","data",0x0011,
"Async Serial","data",0x0011,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x0000,
"Async Serial","data",0x961E,
"Async Serial","data",0x961E,
"Async Serial","data",0xCAFE,
"Async Serial","data",0xCAFE,
